Literal Lemma,MariT sense,IWN sense,Gloss S. (WM),Total S.,T. Relation S.,Mariterm ID,ItalWN ID,Mariterm Gloss,ItalWN Gloss,MariTerm Relations,ItalWN Relations,bonus,malus,missing_relations,no_gloss_relations,bonus_relations
battagliola,1,1,0.09867961797986959,0.09867961797986959,0,N#980,N#21952,ringhiera metallica che si eleva al di sopra dei fianchi della nave per proteggere persone o carico,ringhiera di metallo posta sui ponti delle imbarcazioni,[],"['has_hyperonym, ringhiera, parapetto di metallo (Score: 0.00)']",0,0,[],[],[]
battente,1,2,0.0,0.0,0,N#1798,N#31702,lato libero della bandiera,ciascuno degli elementi che chide una porta o una finestra,[],"['has_hyperonym, affisso, Serramento di vario materiale che serve come chiusura (porte  finestre) nelle strutture murarie. (Score: 0.00)']",0,0,[],[],[]
Bayonne,1,1,0.0,0.0,0,NP#1032,NP#46535,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
beccaccino,1,1,0.0,-0.33,0,N#2,N#17291,piccola barca a vela da diporto  armata con un albero  randa e fiocco,uccello di palude dalle carni pregiatissime  simile alla beccaccia,"['has_hyperonym, barca a vela, No Gloss (Score: 0.00)']","['has_hyperonym, augello, animale vertebrato oviparo dal corpo coperto di penne e piume  con ali  cova le uova e si occupa della prole. (Score: 0.00)']",0,-0.33,['barca a vela'],[],[]
beccheggio,1,1,0.11909571536338355,-0.5409042846366164,0,N#578,N#3970,movimento oscillatorio longitudinale dell imbarcazione,oscillazione in senso longitudinale di un imbarcazione o di un aereo dovuto a moto ondoso o correnti d aria ,"['xpos_near_synonym, beccheggiare, muoversi  oscillando in senso longitudinale  tipico delle imbarcazioni (Score: 0.00)', ""has_hyperonym, movimento, movimento dell'imbarcazione . (Score: 0.00)""]","['xpos_near_synonym, rollare, compiere movimenti dei beccheggio  detto di areomobili e di navi (Score: 0.00)', 'has_hyperonym, moto, movimento di corpi nello spazio (Score: 0.00)']",0,-0.66,"['beccheggiare', 'movimento']",[],[]
Belfast,1,1,0.0,0.0,0,NP#1033,NP#47198,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Belgrado,1,1,0.0,0.0,0,NP#2491,NP#48416,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
belvedere,1,1,-0.1,-0.43000000000000005,0,N#354,N#30580,la penultima delle vele quadre dei bastimenti a tre alberi,[FALLBACK] luogo con determinate qualità o condizioni geografiche e ambientali. ,"['has_hyperonym, vela quadra, vela di forma rettangolare o trapezoidale  utilizzata sui grandi velieri del passato. (Score: 0.00)']","['has_hyperonym, sito, luogo con determinate qualità o condizioni geografiche e ambientali.  (Score: 0.00)']",0,-0.33,['vela quadra'],[],[]
bengala,1,1,0.0,0.0,0,N#983,N#25698,razzo utilizzato per segnalare emergenze o per illuminare dall alto,fuoco d artificio,[],"['has_hyperonym, fuoco_pirotecnico, i fuochi  fuoco artificiale (Score: 0.00)']",0,0,[],[],[]
Bergen,1,1,0.0,0.0,0,NP#1034,NP#48581,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
biga,1,1,0.0,-0.33,0,N#1914,N#4389,gru usata per alzare grossi pesi,[FALLBACK] ,"['has_hyperonym, gru, macchina per sollevare e spostare carichi. (Score: 0.00)']","['has_hyperonym, cocchio, No Gloss (Score: 0.00)']",0,-0.33,['gru'],[],[]
Bilbao,1,1,0.0,0.0,0,NP#2425,NP#48528,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
biscaglina,1,1,0.0,-0.33,0,N#1935,N#26340,nave a vele quadre tipica della biscaglia,piccola scala a pioli,"['has_hyperonym, veliero, bastimento a vela. (Score: 0.00)']","['has_hyperonym, scaletta, piccola scala (Score: 0.00)']",0,-0.33,['veliero'],[],[]
bissona,1,1,-0.012955532074957823,-0.3429555320749578,0,N#1936,N#10233,barca veneziana da parata a otto remi  sottile e veloce,[FALLBACK] piccola imbarcazione a remi a vela o a motore.,"['has_hyperonym, barca a remi, imbarcazione con propulsione a remi (Score: 0.00)']","['has_hyperonym, barca, piccola imbarcazione a remi a vela o a motore. (Score: 0.00)']",0,-0.33,['barca a remi'],[],[]
bitta,2,1,-0.1,-0.43000000000000005,0,N#580,N#19924,attrezzatura posta sulla banchina a cui si avvolgono i cavi o le catene d ormeggio,[FALLBACK] elemento architettonico usato come sostegno o anche per abbellimento.,"[""has_hyperonym, utensile, arnese atto all'esecuzione di determinate operazioni proprie di un'arte  di un mestiere o di una tecnica. (Score: 0.00)""]","['has_hyperonym, colonna, elemento architettonico usato come sostegno o anche per abbellimento. (Score: 0.00)']",0,-0.33,['utensile'],[],[]
boccaporto,1,1,-0.04302952047606692,-0.04302952047606692,0,N#851,N#25324,apertura praticata nella coperta delle imbarcazioni e delle navi per il passaggio delle persone o delle merci tra i diversi livelli di ponte,[FALLBACK] passaggio aperto  varco.,[],"['has_hyperonym, sbocco, passaggio aperto  varco. (Score: 0.00)']",0,0,[],[],[]
Boma,1,1,0.0,0.0,0,NP#1037,NP#46072,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
bombarda,1,1,0.11954622394547189,-0.21045377605452814,0,N#1937,N#1808,piccolo veliero da guerra con due alberi e un mortaio da bombe,pezzo di artiglieria da trincea a tiro curvo,"['has_hyperonym, veliero, bastimento a vela. (Score: 0.00)']","[""has_hyperonym, pezzo_d'artiglieria, arma da fuoco pesante (cannone  obice o mortaio) dotata di affusto e strumentazione necessaria per il traino e per il tiro. (Score: 0.00)""]",0,-0.33,['veliero'],[],[]
bora,1,1,0.12536693798731732,-0.2046330620126827,0,N#982,N#19919,vento freddo e impetuoso che soffia da nord est sul mare adriatico con la massima intensità a trieste e lungo le coste della dalmazia,vento di nordest che durante l inverno spira sull adriatico,"['has_hyperonym, venti locali del Mediterraneo, venti tipici delle regioni del Mediterraneo. (Score: 0.00)']","[""has_hyperonym, aria, spostamento di masse d'aria atmosferiche dovuto a differenza di temperatura o di pressione  spostamento di masse d'aria atmosferiche causato da differenze di temperatura o di pressione (Score: 0.00)""]",0,-0.33,['venti locali del Mediterraneo'],[],[]
Bordeaux,1,1,0.0,0.0,0,NP#1038,NP#46994,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
bordeggiare,1,1,-0.04789046442953381,-0.37789046442953383,0,V#664,V#39675,veleggiare con vento obliquo per diagonali  cambiando di boerdo dii volta in volta,[FALLBACK] spostarsi  viaggiare per mare su una nave.,"[""has_hyperonym, veleggiare, navigare con un'imbarcazione a vela. (Score: 0.00)""]","['xpos_near_synonym, bordeggio, No Gloss (Score: 0.00)', 'has_hyperonym, navigare, spostarsi  viaggiare per mare su una nave. (Score: 0.00)']",0,-0.33,['veleggiare'],[],[]
bordo,4,3,0.09477750867961184,-0.2352224913203882,0,N#2726,N#28180,nella navigazione di bolina delle barche a vela  ogni tratto percorso con il vento da uno stesso lato,lo spazio interno di una nave o  per estensione  di qualunque altro mezzo di locomozione,"['has_hyperonym, percorso, tratto di strada che si compie  per mare o per terra. (Score: 0.00)']","[""has_hyperonym, dentro, Tutto ciò che sta all'interno di qualcosa. (Score: 0.00)""]",0,-0.33,['percorso'],[],[]
Boston,1,1,0.0,0.0,0,NP#2164,NP#46975,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Boulogne,1,1,0.0,0.0,0,NP#1039,NP#46293,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
braccio,1,2,0.06360120575671213,-0.2663987942432879,0,N#882,N#29071,misura inglese di profondità che corrisponde a metri 1 85 e si suddivide in 6 piedi,parte lunga e stretta  sporgente  di qlco,"['has_hyperonym, grandezza, espressione quantitativa del rapporto fra grandezze omogenee. (Score: 0.00)']","['has_hyperonym, partizione, ciascuna delle porzioni o degli elementi in cui è diviso un tutto (Score: 0.00)', ""has_hyponym, morta, braccio morto di un corso d'acqua  con acqua stagnante (Score: 0.00)""]",0,-0.33,['grandezza'],[],[]
bragozzo,1,1,-0.04973091251984977,-0.3797309125198498,0,N#1939,N#29666,barca da pesca in uso nell alto adriatico  di forme rotonde e tozze  con due alberi con vela a terzo dipinta a colori vivaci,[FALLBACK] piccola imbarcazione a remi a vela o a motore.,"['has_hyperonym, barca a vela, No Gloss (Score: 0.00)']","['has_hyperonym, barca, piccola imbarcazione a remi a vela o a motore. (Score: 0.00)']",0,-0.33,['barca a vela'],[],[]
Brema,1,1,0.0,0.0,0,NP#1040,NP#46416,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Brest,1,1,0.0,0.0,0,NP#1041,NP#47465,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Bridgetown,1,1,0.0,0.0,0,NP#1036,NP#47950,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
brigantino,1,1,-0.1,-1.09,0,N#886,N#21615,veliero con due alberi a vele quadre e bompresso,[FALLBACK] costruzione specialmente di notevoli dimensioni destinata al trasporto o a scopi militari spostandosi per via d'acqua  galleggiando  o navigando in profondità  o scivolando sopra la superficie.,"['has_hyperonym, veliero, bastimento a vela. (Score: 0.00)', 'has_hyponym, brigantino a goletta, No Gloss (Score: 0.00)', 'has_hyponym, brigantino a palo, No Gloss (Score: 0.00)']","[""has_hyperonym, nave, costruzione specialmente di notevoli dimensioni destinata al trasporto o a scopi militari spostandosi per via d'acqua  galleggiando  o navigando in profondità  o scivolando sopra la superficie. (Score: 0.00)""]",0,-0.99,"['veliero', 'brigantino a goletta', 'brigantino a palo']",[],[]
Brindisi,1,1,0.0,0.0,0,NP#2445,NP#46827,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Bristol,1,1,0.0,0.0,0,NP#1035,NP#47074,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
buriana,1,2,0.0,-0.66,0,N#2572,N#869,vento impetuoso che spira da settentrione,confusione  situazione caotica  situazione confusa e caotica,"['near_synonym, burrasca, temporale con forte vento che può produrre un forte moto ondoso  (Score: 0.00)', 'has_hyperonym, venti locali del Mediterraneo, venti tipici delle regioni del Mediterraneo. (Score: 0.00)']","['xpos_near_synonym, rabbuffare, mettere in disordine  intricare un insieme di cose in modo da alterarne la normale disposizione. (Score: 0.00)', 'has_hyperonym, situazione, stato  condizione  insieme di circostanze (Score: 0.00)', 'has_hyponym, bagarre, nel ciclismo  situazione di confusione soprattutto nel finale della gara (Score: 0.00)', 'has_hyponym, chiasso, confusione di gente e di voci o di suoni (Score: 0.00)', 'has_hyponym, dissesto, stato di instabilità (Score: 0.00)', 'has_hyponym, fuggifuggi, No Gloss (Score: 0.00)', 'has_hyponym, movimento, grande fervore di persone  di cose  di idee. (Score: 0.00)', 'has_hyponym, scombussolio, confusione (Score: 0.00)', 'has_hyponym, tregenda, stato di grande confusione e turbamento (Score: 0.00)']",0,-0.66,"['burrasca', 'venti locali del Mediterraneo']",[],[]
Cadice,1,1,0.0,0.0,0,NP#1042,NP#48433,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Cagliari,1,2,0.0,0.0,0,NP#2259,NP#49173,[FALLBACK] ,squadra di calcio,[],[],0,0,[],[],[]
Calais,1,1,0.0,0.0,0,NP#1043,NP#48590,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
calma,2,4,0.0,0.0,0,N#2083,N#3702,il mare è come uno specchio grado 0 della scala beaufort,zona equatoriale caratterizzata da scarsissimi venti,[],"['has_hyperonym, zona, una particolare regione geografica con proprie caratteristiche fisiche  naturali  culturali (Score: 0.00)']",0,0,[],[],[]
cambusa,1,1,-0.1,-0.43000000000000005,0,N#1055,N#13024,deposito dei viveri sulla nave o imbarcazione,[FALLBACK] un luogo dove si tengono valori o cose al sicuro,"['has_hyperonym, camera, ambiente interno  stanza  ripostiglio  deposito. (Score: 0.00)']","['has_hyperonym, deposito, un luogo dove si tengono valori o cose al sicuro (Score: 0.00)']",0,-0.33,['camera'],[],[]
campionare,1,1,0.0,0.0,0,V#595,V#39696,[FALLBACK] ,[FALLBACK] ,[],"['xpos_near_synonym, campionamento, No Gloss (Score: 0.00)', 'has_hyperonym, trarre, No Gloss (Score: 0.00)']",0,0,[],[],[]
cannoniera,1,2,-0.055837664057401384,-0.3858376640574014,0,N#556,N#4781,[FALLBACK] nave impiegata per scopi militari e/o di guerra.,apertura a cui si affaccia la bocca del cannone  nelle fortezze e nelle murate delle navi da guerra,"['has_hyperonym, nave militare, nave impiegata per scopi militari e/o di guerra. (Score: 0.00)']","['has_hyperonym, sbocco, passaggio aperto  varco. (Score: 0.00)']",0,-0.33,['nave militare'],[],[]
canotto,1,1,-0.1,-0.43000000000000005,0,N#362,N#21845,sulle navi mercantili è la più piccola delle imbarcazioni di bordo,[FALLBACK] canotto pneumatico a motore.,"['has_hyperonym, imbarcazione, termine generico per indicare barche di piccole e medie dimensioni  utilizzate per diversi scopi (lavoro  piacere  etc.).  (Score: 0.00)']","['has_hyperonym, barca, piccola imbarcazione a remi a vela o a motore. (Score: 0.00)', 'has_hyponym, autogonfiabile, No Gloss (Score: 0.00)', 'has_hyponym, gommone, canotto pneumatico a motore. (Score: 0.00)']",0,-0.33,['imbarcazione'],[],[]
capitano,2,3,0.1059921313509325,-1.5440078686490677,0,N#511,N#26084,grado di vari ufficiali della marina militare,anticamente capo militare e politico,"[""has_hyperonym, posizione, posizione all'interno della gerarchia sociale  posizione all'interno di una gerarchia (Score: 0.00)"", ""has_hyponym, capitano di corvetta, corrisponde a maggiore dell'esercito. (Score: 0.00)"", ""has_hyponym, capitano di fregata, corrispondente a tenente colonnello dell'esercito. (Score: 0.00)"", ""has_hyponym, capitano di vascello, corrispondente a colonnello dell'esercito. (Score: 0.00)"", 'has_hyponym, primo capitano, ufficiale che ha più di dodici anni di permanenza nel suo grado. (Score: 0.00)']","[""has_hyperonym, leader, chi dirige  chi ha la responsabilità di un'attività  di una scuola  ufficio  azienda  villaggio ecc.. (Score: 0.00)""]",0,-1.6500000000000001,"['posizione', 'capitano di corvetta', 'capitano di fregata', 'capitano di vascello', 'primo capitano']",[],[]
capo,1,6,0.06744304769296748,0.06744304769296748,0,N#1091,N#23870,"promontorio o sporgenza della costa  normalmente alto sul mare
",striscia di terra che si proietta in mare,[],"['has_hyperonym, terreno, porzione di suolo omogeneo per struttura  natura  composizione e sim. (Score: 0.00)']",0,0,[],[],[]
Capo_Carbonara,1,1,0.0,0.0,0,NP#2586,NP#46511,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Capo_Rizzuto,1,1,0.0,0.0,0,NP#2587,NP#47750,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
cappellano,1,3,0.0,0.0,0,N#807,N#23742,[FALLBACK] ,sacerdote che svolge il suo servizio religioso presso comunità e istituzioni,[],"['has_hyperonym, padre, ministro del culto nella Chiesa cristiana (Score: 0.00)']",0,0,[],[],[]
Capraia,1,1,0.0,0.0,0,NP#2260,NP#48351,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Capri,1,1,0.0,0.0,0,NP#2364,NP#47871,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Cardiff,1,1,0.0,0.0,0,NP#2463,NP#47117,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
carena,1,1,-0.1,-0.43000000000000005,0,N#720,N#17265,la parte dello scafo che normalmente sta sotto il livello dell acqua,[FALLBACK] ciascuna delle porzioni o degli elementi in cui è diviso un tutto,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)']","['has_hyperonym, partizione, ciascuna delle porzioni o degli elementi in cui è diviso un tutto (Score: 0.00)']",0,-0.33,['parte'],[],[]
carpenteria,3,1,0.03627634143908645,-0.29372365856091354,0,N#2203,N#13396,stabilimento o reparto in cui si effettuano attività di carpenteria,[FALLBACK] attività umana che si basa sull'abilità individuale e su un complesso di regole e conoscenze tecniche ad essa necessarie.,"['has_hyperonym, luogo, parte dello spazio occupata o occupabile materialmente o idealmente (Score: 0.00)']","[""has_hyperonym, mestiere, attività umana che si basa sull'abilità individuale e su un complesso di regole e conoscenze tecniche ad essa necessarie. (Score: 0.00)""]",0,-0.33,['luogo'],[],[]
Carrara,1,1,0.0,0.0,0,NP#2446,NP#47881,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
carrello,1,2,0.1054804151138788,0.1054804151138788,0,N#1331,N#28097,sistema scorrevole su una rotaia che porta uno o più bozzelli nei quali scorrono le scotte che regolano le diverse vele,nei supermercati  grosso cestello con ruote e una maniglia per manovrarlo  in cui i clienti trasportano le merci prelevate dagli scaffali,[],"['has_hyperonym, contenitore, oggetto che serve a contenerne altri  spec. per agevolarne il trasporto. (Score: 0.00)']",0,0,[],[],[]
Cartagena,1,1,0.0,0.0,0,NP#1044,NP#46774,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
carteggiare,1,2,0.11446760068960024,-0.21553239931039977,0,V#780,V#41035,tracciare e seguire una rotta sulle carte nautiche,nella navigazione aerea e marittima   determinare una rotta e verificarla sulla carta nautica durante il tragitto,"['xpos_near_synonym, carteggio, procedimento per tracciare e seguire una rotta sulle carte nautiche . (Score: 0.00)']","['has_hyperonym, combinare, preparare ordinatamente. (Score: 0.00)', 'has_hyperonym, scoprire, riscontrare in seguito ad osservazione diretta. (Score: 0.00)']",0,-0.33,['carteggio'],[],[]
Caspio,1,1,0.0,0.0,0,NP#2052,NP#46816,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
cassero,2,1,0.11913689236190332,-0.21086310763809668,0,N#2000,N#15704,sulle navi moderne il ponte sopraelevato centrale o di poppa  spec destinato ad alloggi,nelle navi mercantili  sovrastruttura destinata a contenere alloggi,"['has_hyperonym, ponte, ognuno di piani orizzontali che dividono l\'interno delle navi nel senso dell\'altezza  nelle imbarcazioni da diporto spesso il termine ponte coincide con ""coperta"". (Score: 0.00)']","['has_hyperonym, sovrastruttura, No Gloss (Score: 0.00)']",0,-0.33,['ponte'],[],[]
Catania,1,1,0.0,0.0,0,NP#2367,NP#48341,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
catena,1,5,0.026808540936613015,-0.633191459063387,0,N#1181,N#21710,"nella marineria le catene si usano sostanzialmente per collegare l ancora allo scafo o per ormeggiare ad una bitta quelle per l ancora devono essere calibrate cioè con maglie perfettamente uguali per entrare nel barbutin dell argano

",tirante tramite il quale si aziona lo sciaquone,"['has_hyperonym, prodotto, tutto ciò che gli uomini producono. (Score: 0.00)', ""has_hyponym, frenello, cavo d'acciaio  o catena  che rimanda il movimento della ruota del timone alla barra e quindi alla pala.  (Score: 0.00)""]","['has_hyperonym, oggetto, oggetto materiale  concreto (Score: 0.00)']",0,-0.66,"['prodotto', 'frenello']",[],[]
cavallino,1,3,0.0,0.0,0,N#1182,N#50455,"concavità del centro della coperta nel senso longitudinale  rispetto alla prua e alla poppa
",manto di puledro conciato,[],"['has_hyperonym, cuoio, pelle di animale conciata per fare borse  valigie  cinture ecc..  pelle di animale conciata (Score: 0.00)']",0,0,[],[],[]
cavitazione,1,1,-0.03538366682725237,-0.03538366682725237,0,N#1183,N#10041,"effetto turbolento dell elica causato da una velocità di rotazione troppo elevata  che determina un decadimento della spinta
",[FALLBACK] ciò che si manifesta,[],"['has_hyperonym, fenomeno, ciò che si manifesta (Score: 0.00)']",0,0,[],[],[]
centinatura,1,1,-0.1,-0.1,0,N#1336,N#25265,curvatura trasversale della ordinata,[FALLBACK] azione (o serie di azioni ) che tende a produrre un effetto  che è volta ad un fine.,[],"['xpos_near_synonym, centinare, No Gloss (Score: 0.00)', 'has_hyperonym, operazione, azione (o serie di azioni ) che tende a produrre un effetto  che è volta ad un fine. (Score: 0.00)']",0,0,[],[],[]
cerata,1,1,0.05970294267822997,-0.27029705732177006,0,N#1847,N#16432,indumento impermeabilizzato e ben chiuso per impedire il passaggio dell acqua  di solito formato da giacca con cappuccio e pantaloni alti o tuta intera,giaccone di tessuto impermeabile,"[""has_hyperonym, impermeabile, indumento adatto a proteggere dall'acqua.  (Score: 0.00)""]","['has_hyperonym, capo_di_vestiario, capo di vestiario (Score: 0.00)']",0,-0.33,['impermeabile'],[],[]
Cherbourg,1,1,0.0,0.0,0,NP#1045,NP#47145,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
chiesuola,1,1,0.0406093257697673,-0.28939067423023274,0,N#640,N#22005,colonna fissata al ponte della nave che sostiene e protegge la bussola magnetica,gruppo ristretto di persone che professano idee o comportamenti e forme di vita particolari,"['has_hyperonym, colonna, si dice di varie cose verticali di forma allungata. (Score: 0.00)']","['has_hyperonym, insieme, la totalità  persone o animali o cose radunate insieme (Score: 0.00)']",0,-0.33,['colonna'],[],[]
chiglia,1,1,-0.067488865061926,-0.727488865061926,0,N#109,N#8155,trave in uno o più pezzi che corre dalla prua alla poppa e costituisce il fondo dello scafo e  l elemento più importante della struttura di una imbarcazione,[FALLBACK] ciascuna delle porzioni o degli elementi in cui è diviso un tutto,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)', ""has_hyperonym, trave, elemento delle costruzioni costituito da un tronco d'albero squadrato o da analoghe strutture in acciaio o cemento armato. (Score: 0.00)""]","['has_hyperonym, partizione, ciascuna delle porzioni o degli elementi in cui è diviso un tutto (Score: 0.00)']",0,-0.66,"['parte', 'trave']",[],[]
Chioggia,1,1,0.0,0.0,0,NP#2447,NP#47524,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
ciclone,1,2,0.09890006044260098,-0.891099939557399,0,N#1240,N#29425,"tempesta tropicale di notevole intensità conseguente al prodursi di forti depressioni 
",fenomeno atmosferico che porta ad ampie zone di bassa pressione,"['near_synonym, tifone, Prendono questo nome i ""cicloni"" dell\'Oceano Indiano e dell\'Oceano Pacifico orientale. (Score: 0.00)', 'near_synonym, uragano, generico nome che si da alle tempeste e ai cicloni. In particolare designa le tempeste tropicali nel Mar dei Caraibi. (Score: 0.00)', 'has_hyperonym, burrasca, temporale con forte vento che può produrre un forte moto ondoso  (Score: 0.00)']","['has_hyperonym, fenomeno_atmosferico, No Gloss (Score: 0.00)']",0,-0.99,"['tifone', 'uragano', 'burrasca']",[],[]
Cinque_Terre,1,1,0.0,0.0,0,NP#2588,NP#47827,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
cisterna,1,1,0.11521554337793122,-0.2147844566220688,0,N#1304,N#28766,contenitore di grandi dimensioni,vasca per la raccolta di liquidi,"['has_hyperonym, contenitore, oggetto che serve a contenerne altri  spec. per agevolarne il trasporto. (Score: 0.00)']","['has_hyperonym, vasca, grande recipiente spesso affondato nel terreno  per raccogliere acqua o altri liquidi. (Score: 0.00)']",0,-0.33,['contenitore'],[],[]
Civitavecchia,1,1,0.0,0.0,0,NP#2368,NP#45714,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
classificazione,1,1,0.04793334297115804,0.04793334297115804,0,N#1338,N#7560,indica la tipologia ed il grado di bontà e di affidabilità  per le navi e talvolta anche per imbarcazioni da diporto di considerevole dimensione e pregio  e  determinato da funzionari del registro navale in italia il rina ,atto del classificare,[],"['xpos_near_synonym, classificare, dividere in classi. (Score: 0.00)', ""has_hyperonym, azione, l'operare  l'agire consapevolmente. (Score: 0.00)""]",0,0,[],[],[]
coffa,1,1,-0.1,-0.43000000000000005,0,N#460,N#25906,piattaforma circolare o semicircolare posta sulla cima degli alberi degli antichi velieri o di moderne imbarcazioni di grandi dimensioni,[FALLBACK] superficie piana su cui si collocano macchine per vari usi,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)']","['has_hyperonym, piattaforma, superficie piana su cui si collocano macchine per vari usi (Score: 0.00)']",0,-0.33,['parte'],[],[]
cogliere,1,4,0.10106587557208112,-0.5589341244279189,0,V#1351,V#36581,"raccogliere le cime ripiegandole con successive spire concentriche si usa soprattutto cogliere le manovre correnti scotte  drizze  etc per tenerle in ordine sulla coperta
",cogliere di sorpresa o in flagrante,"['near_synonym, abbisciare, avvolgere un cavo od una catena  ad ampie spire  in modo che possano svolgersi liberamente e scorrere senza impedimenti.   (Score: 0.00)', 'has_hyperonym, manovrare, far funzionare attrezzature o strumenti per la navigazione mediante le operazioni o i movimenti necessari.  (Score: 0.00)']","[""has_hyperonym, compire, compiere un'azione. (Score: 0.00)""]",0,-0.66,"['abbisciare', 'manovrare']",[],[]
collidere,1,1,0.0,-0.66,0,V#339,V#37355,urtare fortuitamente,cozzare violentemente contro qlco detto spec di autoveicoli,"['xpos_near_synonym, investimento, urto tra due navi o imbarcazioni. (Score: 0.00)', 'has_hyperonym, abbordare, investire bordo contro bordo  di punta  per fianco. (Score: 0.00)']","['has_hyperonym, cozzare, No Gloss (Score: 0.00)', 'has_hyponym, bicciare, cozzare di animalli con le corna (Score: 0.00)']",0,-0.66,"['investimento', 'abbordare']",[],[]
investimento,1,3,0.0,-0.66,0,N#1352,N#24057,urto tra due navi o imbarcazioni,impiego di denaro,"['near_synonym, abbordaggio, urto volontario o collisione accidentale tra imbarcazioni (Score: 0.00)', 'xpos_near_synonym, collidere, urtare fortuitamente. (Score: 0.00)']","[""has_hyperonym, azione, l'operare  l'agire consapevolmente. (Score: 0.00)"", 'has_hyponym, venture_capital, investimento a rischio elevato (Score: 0.00)']",0,-0.66,"['abbordaggio', 'collidere']",[],[]
collo,3,2,0.12463655010544364,-0.5353634498945564,0,N#480,N#5288,balla  involto di merce di grosse dimensioni  per metonimia da  collo  oggetto che si appoggia sul collo,la parte del vestito che sta attorno al collo,"['has_hyperonym, collo, bagaglio da trasportare (Score: 0.00)', 'has_hyponym, collo pesante, No Gloss (Score: 0.00)']","['has_hyperonym, partizione, ciascuna delle porzioni o degli elementi in cui è diviso un tutto (Score: 0.00)', 'has_hyponym, gorgiera, No Gloss (Score: 0.00)', 'has_hyponym, solino, No Gloss (Score: 0.00)']",0,-0.66,"['collo', 'collo pesante']",[],[]
collo,4,3,0.12631460871586422,0.12631460871586422,0,N#1350,N#7058,"giro completo di una cima attorno ad un punto fisso  normalmente una bitta  per bloccarla
",estremità allungata di un recipiente,[],"['has_hyperonym, testata, la parte estrema di qualcosa (Score: 0.00)']",0,0,[],[],[]
contagiri,1,1,0.1171379783427297,0.1171379783427297,0,N#1355,N#8480,"strumento  meccanico od elettronico  per la misurazione del numero di rivoluzioni dell albero motore giri del motore 
",dispositivo per contare il numero di giri compiuti in un intervallo di tempo da un corpo rotante intorno a un asse,[],"['has_hyperonym, ordigno, meccanismo atto a compiere un certo lavoro  meccanismo atto a compiere un dato lavoro. (Score: 0.00)']",0,0,[],[],[]
contraliseo,1,1,0.08836421649960333,-0.2416357835003967,0,N#841,N#11942,vento di direzione opposta all aliseo,[FALLBACK] spostamento di masse d'aria atmosferiche dovuto a differenza di temperatura o di pressione  spostamento di masse d'aria atmosferiche causato da differenze di temperatura o di pressione,"[""has_xpos_hyperonym, vento costante, vento che mantiene inalterata la direzione di provenienza e l'intensità. (Score: 0.00)""]","[""has_hyperonym, aria, spostamento di masse d'aria atmosferiche dovuto a differenza di temperatura o di pressione  spostamento di masse d'aria atmosferiche causato da differenze di temperatura o di pressione (Score: 0.00)""]",0,-0.33,['vento costante'],[],[]
Copenhagen,1,1,0.0,0.0,0,NP#1046,NP#46361,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
